"CIF_ID","TRAN_DATE_BAL"
"0161921",29827.89
"0127024",69809.85
"0123242",98306.01
"0103572",2248.03
"0154220",12363.2
"0325051",30884
"0127024",21069.35
"0173031",700
"0175128",78093.32
"0173382",26906.97
"0173396",34.31
"0175128",98087.32
"0165059",225075.55
"0165059",459549.55
"0103693",201845.88
"0199178",6199.47
"0270175",26377.5
"0152938",1397.73
"0152938",2397.73
"0318526",103404.86
"0165059",459549.55
"0270175",146377.5
"0318526",77754.86
"0318526",50754.86
"0016917",321506.32
"0040097",257968.59
"0325481",12067.869
"0321928",25414.25
"0134206",43409.8
"0325051",50084
"0085268",185598.55
"0175445",52049.3
"0070423",26349.82
"0181795",251.7
"0179995",5735.65
"0179995",53167.4
"0046741",0
"0276793",104
"0073785",125691.14
"0154220",45399.2
"0090090",300000.61
"0160462",10593.23
"0078323",0
"0179995",
"0179995",278.074
"0127024",19672.35
"0173858",7904.34
"0117222",19622.24
"0117222",70224.24
"0117110",18456.08
"0154220",30399.2
"0009366",2744.86
"0326228",103841
"0270175",202777.5
"0270175",162280.22
"0127024",2485.85
"0179995",53167.4
"0152938",231777.27
"0152938",266625.27
"0117222",285596.24
"0117222",553825.24
"0175128",71231.32
"0175128",61237.32
"0175128",58099.32
"0308007",7.38
"0117222",70224.24
"0227775",1525.55
"0325051",3649
"0040097",60717.59
"0158673",249085.61
"0289937",34820
"0174735",24.96
"0123242",5306.01
"0185075",343.5
"0185075",113578.5
"0181795",6679.7
"0117222",447454.24
"0170288",207723.06
"0325051",58899
"0318526",122474.86
"0318526",230074.86
"0152938",11229.05
"0152938",11397.73
"0318526",59554.86
"0181795",14661.7
"0103693",123564.88
"0175204",39126.54
"0179995",204824.0805
"0179995",226534.0805
"0189496",28322.98
"0326228",23769
"0085268",53598.55
"0050764",25208.78
"0182797",714323.38
"0125482",11048.08
"0165059",193378.55
"0289351",15273.66
"0085268",124598.55
"0270175",156068.5
"0179995",5239.94
"0166091",11649.79
"0166091",41649.79
"0167758",23954.67
"0103693",154814.88
"0122056",31666.95
"0040097",261933.59
"0326228",130130
"0321928",10999.25
"0325051",28884
"0229867",34516
"0308007",38654.98
"0181795",215.7
"0326766",0.95
"0174735",30128.25
"0174735",38810.25
"0117222",316665.24
"0117222",447454.24
"0085268",151598.55
"0179995",20802.93
"0308007",44295.09
"0308007",208.38
"0136475",437137.24
"0136475",437137.24
"0136475",335097.24
"0166961",1222436.15
"0174414",6416.79
"0180191",1050
"0170288",201523.06
"0170288",204023.06
"0320628",89855.2
"0289351",30451.16
"0277241",37349.65
