CIF_ID,CUST_AGE,AGE_WITH_BANK,DIS_AMT,REP_PERD_MTHS,FLOW_AMT,NO_OF_INSTALLMENTS,min_cred_amt_6_months,max_cred_amt_6_months,avg_cred_amt_6_months,median_cred_amt_6_months,avg_monthly_cred_count_6_months,avg_eod_bal_6_months,median_eod_bal_6_months,min_debit_amt_6_months,max_debit_amt_6_months,avg_debit_amt_6_months,median_debit_amt_6_months,avg_monthly_debit_count_6_months,no_of_non_loan_accounts,no_of_loan_accounts,first_otg_trans,number_of_months_active_otg,avg_otg_tran_amt,median_otg_tran_amount,avg_monthly_otg_trans_count,avg_debit_to_credit_amt_ratio,median_debit_to_credit_amt_ratio,DEFAULT_STATUS_ENCODED,number_of_inactive_months_otg,MARITALSTATUS_MARRIED,MARITALSTATUS_SINGLE,SEGMENTATION_CLASS_BL03_OR_BLO5,OTG_TRANSACTING_FLAG,cust_age_19-20,cust_age_21-30,cust_age_31-40,cust_age_41-50,cust_age_51-60,cust_age_61-70,cust_age_71-80,age_with_bank_0-4,age_with_bank_5-8,age_with_bank_9-11,age_with_bank_12-15,first_otg_trans_0-4,first_otg_trans_5-8,first_otg_trans_9-11,first_otg_trans_12-15,no_of_inactive_months_otg_0- <3,no_of_inactive_months_otg_3- <6,no_of_inactive_months_otg_6- <9,no_of_inactive_months_otg_9 - 11
0042520,39,13,259300.0,60,6301.0,1,231.0,259300.0,10454.394736842103,3944.0,5.428571428571429,6178.510704225352,2505.9,60.0,30000.0,1892.9489523809525,1000.0,15.0,2.0,0.0,2.0,2.0,1327.7407407407406,1000.0,13.5,0.1810672927539317,0.2535496957403651,1,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0192952,45,3,2000000.0,60,137149.0,1,0.73,20236080.15,700100.4235714285,10000.0,12.0,344138.2786684782,107524.44,0.09,20236080.15,231498.9972244897,15000.0,40.833333333333336,4.0,0.0,4.0,3.0,98894.40628787878,32250.0,33.0,0.3306654151750713,1.5,1,1.0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0085015,57,9,3000000.0,60,72710.0,1,6.0,3000000.0,280626.9615384616,97500.0,11.142857142857142,172991.17167487682,60977.23,6.0,500000.0,24912.82178893179,100.0,111.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887755818341686,0.001025641025641,1,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0321677,36,2,200000.0,60,4867.0,1,97.0,200000.0,24478.92857142857,10956.0,2.0,12976.0,176.0,6.0,17000.0,5989.884615384615,5680.0,4.333333333333333,1.0,0.0,11.0,4.0,3431.826086956521,2500.0,4.6,0.2446955387735359,0.5184373859072654,1,7.0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0226998,27,3,3000000.0,60,72875.0,1,0.04,3000000.0,46976.18515151516,675.0,11.0,124006.46481976744,0.0,0.01,120000.0,900.2798976109216,43.74,48.833333333333336,3.0,0.0,2.0,2.0,46770.6375,15775.0,26.666666666666668,0.0191646021214194,0.0648,1,0.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0325463,42,2,202800.0,60,4852.0,1,10.0,202800.0,17759.947368421053,5000.0,3.1666666666666665,7436.753333333333,112.0,10.0,30000.0,4967.857358490566,50.0,8.833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2797225270680649,0.01,1,0.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0196320,33,3,250000.0,24,12251.0,1,3.0,922125.0,91195.50027777778,15328.5,6.0,59432.171173913055,0.0,0.76,974000.0,32475.079684210523,3000.0,13.571428571428571,4.0,0.0,2.0,1.0,96255.8125,4000.0,5.333333333333333,0.3561039698811098,0.1957138663274293,1,1.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0315829,47,2,3000000.0,60,71754.0,1,1.0,3000000.0,62802.66173076922,901.885,14.857142857142858,84617.02552061857,0.0,0.02,390000.0,11417.511229050278,300.0,51.142857142857146,3.0,3.0,9.0,8.0,25703.14285714286,10000.0,5.6,0.1817997981995791,0.3326366443615317,1,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0171473,46,5,450000.0,24,44054.0,2,3.0,450000.0,116444.25,73050.0,1.6,44979.82464285714,11050.67,5.0,65000.0,14065.666666666666,3550.0,5.142857142857143,2.0,0.0,0.0,0.0,24333.33333333333,5000.0,3.0,0.1207931406374008,0.0485968514715948,1,0.0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0151101,39,6,1920000.0,60,46520.0,1,4.0,1920000.0,31944.52475247525,3000.0,14.428571428571429,41620.8475409836,1997.95,6.0,150000.0,6674.285047169811,2836.77,30.285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2089336153499246,0.94559,1,0.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0070986,35,10,300000.0,60,7289.0,1,3.0,300000.0,34404.27777777778,20000.0,2.571428571428572,5258.698529411765,91.21,0.46,45000.0,5476.666144578314,300.0,11.857142857142858,2.0,0.0,3.0,2.0,12783.333333333334,1000.0,4.5,0.1591856158107109,0.015,1,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0291030,48,2,2251100.0,60,54602.0,1,2.0,2251100.0,221045.45454545456,100000.0,3.6666666666666665,126821.35921568629,39327.88,1.0,100000.0,19188.43914893617,1250.0,15.666666666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868076621995878,0.0125,1,0.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
