"CIF_ID","ACID","SCHM_CODE","ACCT_OPN_DATE"
"0138338",IM21073342,CAL31,2016-09-15 00:00:00.000
"0047042",IM21073053,ODF05,2011-05-27 00:00:00.000
"0023301",IM21073387,ODF05,2011-07-14 00:00:00.000
"0178944",IM21074960,CAL12,2018-09-07 00:00:00.000
"0037195",IM21084491,ODF05,2014-04-10 00:00:00.000
"0089222",IM21084167,ODL07,2014-03-20 00:00:00.000
"0077059",IM21084835,ODF05,2014-05-09 00:00:00.000
"0090520",IM21086890,ODL02,2014-09-08 00:00:00.000
"0097183",IM21087256,ODF05,2014-10-01 00:00:00.000
"0070519",IM21085229,ODF05,2014-06-03 00:00:00.000
"0090090",IM21084595,ODL02,2014-04-15 00:00:00.000
"0087899",IM21083645,ODF05,2014-02-18 00:00:00.000
"0090851",IM21086687,ODF05,2014-08-25 00:00:00.000
"0088074",IM21083700,ODF05,2014-02-21 00:00:00.000
"0018559",IM21085345,ODF05,2014-06-09 00:00:00.000
"0002636",IM21085700,ODF05,2014-06-25 00:00:00.000
"0086053",IM21082785,ODF05,2013-12-20 00:00:00.000
"0090544",IM21084767,ODF05,2014-05-02 00:00:00.000
"0091528",IM21085104,ODF05,2014-05-28 00:00:00.000
"0098610",IM21087627,ODF05,2014-10-17 00:00:00.000
"0167758",IM21089756,CAL04,2018-03-07 00:00:00.000
"0100560",IM21088137,ODF05,2014-12-01 00:00:00.000
"0103572",IM21089153,ODF05,2015-02-11 00:00:00.000
"0058899",IM21088830,ODF05,2015-01-26 00:00:00.000
"0072447",IM21089162,ODF05,2015-02-11 00:00:00.000
"0159391",IM21089905,CAL31,2017-08-31 00:00:00.000
"0004524",IM21088023,CAL31,2017-03-08 00:00:00.000
"0152717",IM21088635,CAL12,2017-03-30 00:00:00.000
"0154213",IM21088374,CAL31,2017-05-05 00:00:00.000
"0102044",IM21088591,ODF05,2015-01-14 00:00:00.000
"0166816",IM21088708,CAL31,2018-02-20 00:00:00.000
"0118575",IM21089280,CAL30,2017-06-06 00:00:00.000
"0148267",IM21090045,CAL31,2017-10-13 00:00:00.000
"0167106",IM21089597,CAL30,2018-02-23 00:00:00.000
"0170286",IM21089026,CAL31,2018-04-18 00:00:00.000
"0156899",IM21090098,CAL06,2017-07-04 00:00:00.000
"0108348",IM21088179,SBL02,2017-10-05 00:00:00.000
"0169989",IM21088193,CAL06,2018-04-12 00:00:00.000
"0102366",IM21088705,ODF05,2015-01-20 00:00:00.000
"0165368",IM21088826,CAL31,2018-01-23 00:00:00.000
"0106683",IM21089785,ODF05,2015-03-20 00:00:00.000
"0169693",IM21087938,CAL12,2018-04-07 00:00:00.000
"0170288",IM21087943,CAL31,2018-04-18 00:00:00.000
"0152303",IM21088867,CAL31,2017-03-21 00:00:00.000
"0165250",IM21091391,CAL31,2018-01-19 00:00:00.000
"0116395",IM21092415,ODF05,2015-08-06 00:00:00.000
"0116395",IM21092417,ODF05,2015-08-06 00:00:00.000
"0116859",IM21092569,ODF05,2015-08-14 00:00:00.000
"0162097",IM21091107,CAL12,2017-10-24 00:00:00.000
"0170832",IM21091690,CAL31,2018-04-28 00:00:00.000
"0089843",IM21092277,CAL12,2018-05-14 00:00:00.000
"0134181",IM21092279,CAL12,2018-08-22 00:00:00.000
"0164244",IM21091714,CAL30,2017-12-22 00:00:00.000
"0181008",IM21091734,CAL31,2018-10-19 00:00:00.000
"0161027",IM21092325,CAL31,2017-10-02 00:00:00.000
"0109936",IM21090758,ODF05,2015-05-15 00:00:00.000
"0111438",IM21091097,ODF05,2015-06-04 00:00:00.000
"0165688",IM21090579,CAL31,2018-01-29 00:00:00.000
"0065613",IM21091810,ODF05,2015-07-08 00:00:00.000
"0116457",IM21092451,ODF05,2015-08-07 00:00:00.000
"0117020",IM21092600,ODF05,2015-08-18 00:00:00.000
"0167410",IM21090296,CAL31,2018-03-01 00:00:00.000
"0091663",IM21091762,CAL31,2018-10-24 00:00:00.000
"0170872",IM21092465,CAL31,2018-04-30 00:00:00.000
"0114487",IM21091852,ODF05,2015-07-13 00:00:00.000
"0103692",IM21091856,ODF05,2015-07-13 00:00:00.000
"0165154",IM21092570,CAL31,2018-01-18 00:00:00.000
"0116618",IM21092579,CAL31,2018-01-12 00:00:00.000
"0088804",IM21091549,ODF05,2015-06-24 00:00:00.000
"0178010",IM21091548,CAL30,2018-08-18 00:00:00.000
"0015206",IM21091224,ODF05,2015-06-09 00:00:00.000
"0168282",IM21092152,CAL12,2018-03-17 00:00:00.000
"0042941",IM21092166,CAL31,2018-10-25 00:00:00.000
"0109275",IM21090580,ODF05,2015-05-08 00:00:00.000
"0109323",IM21090587,ODF05,2015-05-08 00:00:00.000
"0097907",IM21091630,ODF05,2015-07-01 00:00:00.000
"0117222",IM21092658,ODF05,2015-08-20 00:00:00.000
"0031597",IM21090683,ODF05,2015-05-14 00:00:00.000
"0031597",IM21090685,ODF05,2015-05-14 00:00:00.000
"0144879",IM21087252,CAL24,2017-02-16 00:00:00.000
"0121669",IM21082971,CAL12,2015-11-11 00:00:00.000
"0106175",IM21083854,CAL01,2016-01-26 00:00:00.000
"0140344",IM21085350,CAL31,2016-11-02 00:00:00.000
"0122251",IM21083336,CAL12,2015-11-20 00:00:00.000
"0128038",IM21083646,CAL31,2016-03-18 00:00:00.000
"0095409",IM21086304,CAL31,2016-11-18 00:00:00.000
"0090090",IM21083677,CAL31,2016-01-29 00:00:00.000
"0048776",IM21085457,CAL20,2016-11-08 00:00:00.000
"0143301",IM21086932,CAL31,2017-01-18 00:00:00.000
"0125861",IM21083412,CAL30,2016-02-10 00:00:00.000
"0126152",IM21083701,CAL06,2016-02-15 00:00:00.000
"0148118",IM21086346,CAL31,2009-05-22 00:00:00.000
